word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
made,-0.028994024,-0.08906814,0.07841794,0.0012494754,0.025414856,0.019852657,0.046067663,-0.054818567,-0.013547457,0.09970442,0.010135085,-0.09515461,0.06610562,-0.082004115,-0.000113908194
center,-0.072191924,-0.07899924,-0.03862013,0.0028041766,-0.060932692,0.059584204,0.021628933,0.10658723,0.035715662,0.07422552,0.08394258,-0.058355384,-0.11654349,-0.0049330825,-0.0050122202
administration,-0.108774826,0.07006563,-0.06526273,0.05075245,-0.0035425613,0.037206378,-0.015352183,-0.051232252,0.08162329,0.054506794,-0.042309865,-0.061819326,0.09795715,0.052258674,0.0005850181
university,0.07182996,-0.08272724,0.06136787,0.08384627,-0.11296411,0.051023804,-0.09409817,-0.06597035,0.06272864,-0.0027438623,-0.029516224,0.0035458796,-0.06772442,0.05166613,-0.0011760027
according,0.02533069,-0.09550672,-0.12490239,-0.107485324,-0.08332162,0.061439633,0.10828963,-0.06665808,-0.0065791304,0.08029759,0.11041126,0.09416117,-0.11624414,0.040543508,0.0010940064
nation,-0.0057464126,-0.08755324,-0.04464502,-0.07721285,0.080311045,0.11106753,-0.10287157,-0.06099673,-0.060582045,-0.09962795,0.04032697,-0.08536734,0.048356343,0.09862848,0.00030910358
food,0.06545383,0.057319157,-0.0523957,-0.030417928,-0.045678277,0.04735843,-0.08519439,0.08616487,0.09054324,0.03682527,-0.052048933,-0.024333598,-0.024524998,-0.11309787,-0.0015042132
next,0.03242315,-0.117151715,0.016589811,-0.10492458,-0.05651623,0.050951697,0.048034996,-0.06618921,0.09064648,-0.08381075,-0.019616455,-0.025877984,-0.031332765,0.006762805,-3.1261345e-05
mr,-0.009368566,-0.069907434,-0.0007256125,-0.11834021,-0.0014751053,-0.021927502,-0.093119204,0.084351465,-0.0030171808,-0.088962786,0.06944793,0.056237627,0.10705032,-0.10634026,0.0064043496
member,-0.055921253,0.07704933,0.11254139,-0.0628136,-0.068941176,0.06660929,-0.10677817,0.083395526,-0.06991179,-0.08071635,-0.0026920624,0.03713546,0.062214877,0.054073706,-0.0052687717
yesterday,-0.018277144,-0.08057458,0.07090093,-0.0989346,0.0032041278,-0.11887622,0.111184135,-0.062322345,0.01379986,-0.09442195,0.09740027,-0.09197552,0.0933125,0.08512765,-0.00036415973
cause,-0.09293286,0.05883861,0.10001186,0.09303962,0.036303777,-0.0442093,-0.07298963,-0.06385418,0.09608034,-0.12701353,-0.026536059,-0.080827326,-0.047624554,-0.109629676,-0.0019187147
judge,-0.09851312,-0.064263776,-0.12927741,0.021906685,0.107590824,-0.10361303,0.06397625,-0.046807524,-0.09327264,-0.009006899,-0.10593842,0.018807992,-0.09567912,0.013644141,0.0054800976
reynolds,0.07030001,-0.08160705,0.056335196,-0.08589274,0.06574772,-0.07052519,-0.00097572414,-0.063340195,-0.078998156,-0.094100386,0.040932685,-0.07836977,-0.03360819,-0.11330707,0.0005291447
